columna,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254,c255,c256,c257,c258,c259,c260,c261,c262,c263,c264,c265,c266,c267,c268,c269,c270,c271,c272,c273,c274,c275,c276,c277,c278,c279,c280,c281,c282,c283,c284,c285,c286,c287,c288,c289,c290,c291,c292,c293,c294,c295,c296,c297,c298,c299,c300,c301,c302,c303,c304,c305,c306,c307,c308,c309,c310,c311,c312,c313,c314,c315,c316,c317,c318,c319,c320,c321,c322,c323,c324,c325,c326,c327,c328,c329,c330,c331,c332,c333,c334,c335,c336,c337,c338,c339,c340,c341,c342,c343,c344,c345,c346,c347,c348,c349,c350,c351,c352,c353,c354,c355,c356,c357,c358,c359,c360,c361,c362,c363,c364,c365,c366,c367,c368,c369,c370,c371,c372,c373,c374,c375,c376,c377,c378,c379,c380,c381,c382,c383,c384,c385,c386,c387,c388,c389,c390,c391,c392,c393,c394,c395,c396,c397,c398,c399,c400,c401,c402,c403,c404,c405,c406,c407,c408,c409,c410,c411,c412,c413,c414,c415,c416,c417,c418,c419,c420,c421,c422,c423,c424,c425,c426,c427,c428,c429,c430,c431,c432,c433,c434,c435,c436,c437,c438,c439,c440,c441,c442,c443,c444,c445,c446,c447,c448,c449,c450,c451,c452,c453,c454,c455,c456,c457,c458,c459,c460,c461,c462,c463,c464,c465,c466,c467,c468,c469,c470,c471,c472,c473,c474,c475,c476,c477,c478,c479,c480,c481,c482,c483,c484,c485,c486,c487,c488,c489,c490,c491,c492,c493,c494,c495,c496,c497,c498,c499,c500,c501,c502,c503,c504,c505,c506,c507,c508,c509,c510,c511,c512,c513,c514,c515,c516,c517,c518,c519,c520,c521,c522,c523,c524,c525,c526,c527,c528,c529,c530,c531,c532,c533,c534,c535,c536,c537,c538,c539,c540,c541,c542,c543,c544,c545,c546,c547,c548,c549,c550,c551,c552,c553,c554,c555,c556,c557,c558,c559,c560,c561,c562,c563,c564,c565,c566,c567,c568,c569,c570,c571,c572,c573,c574,c575,c576,c577,c578,c579,c580,c581,c582,c583,c584,c585,c586,c587,c588,c589,c590,c591,c592,c593,c594,c595,c596,c597,c598,c599,c600,c601,c602,c603,c604,c605,c606,c607,c608,c609,c610,c611,c612,c613,c614,c615,c616,c617,c618,c619,c620,c621,c622,c623,c624,c625,c626,c627,c628,c629,c630,c631,c632,c633,c634,c635,c636,c637,c638,c639,c640,c641,c642,c643,c644,c645,c646,c647,c648,c649,c650,c651,c652,c653,c654,c655,c656,c657,c658,c659,c660,c661,c662,c663,c664,c665,c666,c667,c668,c669,c670,c671,c672,c673,c674,c675,c676,c677,c678,c679,c680,c681,c682,c683,c684,c685,c686,c687,c688,c689,c690,c691,c692,c693,c694,c695,c696,c697,c698,c699,c700,c701,c702,c703,c704,c705,c706,c707,c708,c709,c710,c711,c712,c713,c714,c715,c716,c717,c718,c719,c720,c721,c722,c723,c724,c725,c726,c727,c728,c729,c730,c731,c732,c733,c734,c735,c736,c737,c738,c739,c740,c741,c742,c743,c744,c745,c746,c747,c748,c749,c750,c751,c752,c753,c754,c755,c756,c757,c758,c759,c760,c761,c762,c763,c764,c765,c766,c767,c768,c769,c770,c771,c772,c773,c774,c775,c776,c777,c778,c779,c780,c781,c782,c783
media,0.0,0.0,0.025,0.1,0.025,0.2,0.075,0.4,4.85,14.475,35.325,41.875,44.65,41.825,50.1,51.75,46.9,37.375,25.3,12.0,2.9,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.125,0.1,7.125,23.6,40.625,68.125,92.675,103.325,113.45,118.175,120.375,124.05,121.075,108.95,78.3,55.65,37.725,17.525,5.825,0.325,0.075,0.075,0.0,0.0,0.0,0.0,0.025,0.175,0.075,5.725,31.175,42.975,62.625,87.625,101.25,109.225,116.425,118.075,113.375,126.8,113.875,112.825,99.3,70.4,52.8,45.525,28.65,10.5,0.15,1.375,0.025,0.0,0.025,0.0,0.0,0.125,1.275,26.8,41.15,53.4,70.95,93.025,98.5,104.15,123.225,121.15,119.825,130.475,120.85,105.125,105.125,83.0,62.575,62.625,50.2,18.4,5.85,5.275,0.2,0.0,0.0,0.0,1.125,1.45,7.6,31.675,57.025,62.45,70.8,95.275,99.35,103.775,118.35,109.45,114.3,119.825,120.45,111.025,113.45,95.475,80.9,72.5,57.375,24.45,6.0,0.125,0.05,0.075,0.25,2.4,4.425,4.675,15.375,45.625,64.3,65.6,73.125,95.825,102.1,99.55,109.775,111.0,111.65,121.375,129.2,123.1,118.025,101.425,84.475,71.175,57.625,40.05,12.675,3.775,3.5,0.65,2.175,3.6,1.05,4.95,27.075,53.325,58.05,66.2,72.975,100.55,96.875,95.725,103.8,113.6,120.45,120.975,130.05,128.0,122.275,104.325,89.5,76.85,61.325,46.55,23.925,14.5,5.325,1.975,1.525,3.5,2.4,6.825,28.725,50.5,57.55,56.575,68.975,99.825,94.3,101.575,103.4,113.1,121.1,135.0,143.95,137.25,128.025,104.3,92.275,77.625,66.525,61.55,33.975,25.55,13.325,2.675,2.5,4.25,4.25,7.425,32.4,56.35,57.75,59.35,69.875,98.1,101.85,102.075,103.05,114.575,113.85,125.15,135.325,144.3,133.3,113.4,95.25,88.9,76.4,62.675,43.35,34.75,17.25,1.65,2.075,4.725,4.15,14.0,35.225,61.7,66.4,72.4,78.625,92.675,102.175,104.7,109.375,119.875,113.475,127.025,141.675,149.925,132.825,120.5,114.65,103.825,92.225,75.85,55.85,38.0,16.35,3.025,2.325,3.9,6.625,19.325,38.7,64.025,66.175,72.35,76.35,102.0,115.625,116.25,121.275,135.3,131.75,148.025,158.3,166.8,148.175,138.625,123.425,102.65,91.5,79.175,54.175,45.975,30.1,7.55,2.9,3.75,8.625,18.975,38.15,62.9,61.475,76.375,74.0,101.05,124.675,108.575,122.925,149.2,144.75,157.3,156.15,160.1,148.725,135.475,124.05,109.225,93.225,85.2,64.4,55.75,38.525,8.05,1.675,3.925,4.05,16.2,37.8,60.275,53.7,68.8,85.225,105.375,117.225,127.125,153.05,152.7,139.375,154.725,155.325,156.975,151.775,148.25,123.925,106.225,102.025,95.15,77.725,57.8,46.7,7.475,1.45,6.275,8.1,16.1,39.75,64.75,59.825,76.15,94.3,117.825,133.625,145.75,147.925,144.875,136.725,150.525,153.625,153.825,147.95,143.2,126.575,115.7,109.075,96.55,76.525,63.975,46.1,10.55,2.375,4.7,12.05,24.0,48.55,70.575,72.8,86.275,105.3,125.2,140.4,144.35,152.525,148.7,136.325,152.625,157.0,154.05,144.3,149.075,131.175,111.05,100.35,89.875,79.225,69.15,53.0,13.125,4.375,19.25,22.675,35.1,62.325,75.075,74.0,85.55,98.375,136.325,152.025,148.475,150.725,145.4,135.475,153.625,157.525,152.15,147.025,153.525,128.025,114.6,112.425,100.575,81.325,63.775,54.7,14.775,10.2,24.7,29.025,43.725,73.05,87.25,89.875,100.75,125.525,146.975,162.3,159.975,161.175,152.725,140.075,155.0,157.9,164.55,161.375,154.35,126.05,110.5,111.525,97.625,77.375,62.35,51.55,17.975,10.425,28.0,38.55,53.55,81.075,92.725,97.125,95.0,126.75,144.525,157.475,158.55,158.775,149.625,140.75,153.525,165.2,165.625,154.6,151.05,115.75,105.5,100.025,90.6,72.25,55.05,43.975,10.8,6.625,33.975,37.1,45.7,73.1,88.275,90.85,83.475,120.65,144.825,148.2,152.575,151.1,133.275,119.8,138.975,158.125,148.9,141.375,132.35,103.075,94.85,92.15,81.775,61.9,45.8,34.925,4.0,8.35,23.1,33.825,48.575,76.65,88.375,88.425,73.225,117.975,138.225,143.5,144.8,148.375,134.825,121.175,141.025,148.075,144.3,136.425,130.625,100.9,95.525,92.35,83.075,63.6,45.85,34.8,7.025,9.65,23.05,27.225,43.7,73.55,83.625,89.125,74.575,120.3,135.375,148.6,145.05,147.325,131.15,130.05,146.625,150.775,144.975,134.0,127.75,95.2,86.825,88.65,78.775,61.075,44.275,29.125,4.775,5.8,21.075,28.7,45.9,73.325,84.6,89.65,70.925,116.725,132.55,142.025,145.5,143.05,129.225,131.425,136.625,135.95,123.55,113.525,119.775,91.475,78.15,85.925,74.175,56.1,39.35,25.975,7.75,1.85,11.225,22.55,44.75,72.75,81.8,85.775,73.25,113.2,128.95,138.825,138.15,140.45,129.875,128.25,124.2,122.325,122.2,111.4,115.15,89.0,75.1,80.7,66.45,46.3,33.65,21.025,3.975,3.825,8.975,23.075,44.9,65.6,72.45,76.1,71.925,109.375,125.3,132.75,131.05,135.05,120.075,110.125,109.2,115.0,119.85,103.825,105.825,85.2,69.675,77.525,63.425,45.125,28.9,15.825,2.325,3.575,9.35,19.975,36.6,63.175,73.925,75.025,62.9,102.15,117.05,126.775,128.45,126.5,108.3,97.9,100.1,111.675,114.825,98.925,106.7,76.1,60.0,70.725,57.7,37.35,19.8,7.7,1.75,0.0,0.225,5.95,16.275,50.075,60.725,60.6,44.7,83.975,101.925,114.1,115.975,110.225,88.55,72.225,80.65,96.025,102.2,86.55,88.725,58.35,50.075,56.0,49.325,25.25,13.45,0.225,0.0,0.0,0.0,1.625,8.35,36.425,50.7,49.825,31.55,51.325,71.8,86.125,92.675,93.5,67.725,65.575,76.275,81.25,87.45,68.475,60.8,46.5,50.8,51.475,39.725,18.925,6.85,0.075,0.0,0.0,0.0,0.35,2.225,15.45,24.1,20.55,13.475,20.125,28.125,39.325,47.125,43.35,31.275,32.4,38.825,42.35,42.325,29.8,26.575,21.375,21.975,25.425,22.725,11.575,2.175,0.0,0.0
moda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,168,317,295,284,307,331,226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,182,299,311,319,296,325,292,321,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,167,193,322,304,313,344,314,236,194,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,183,221,254,196,256,249,233,234,225,164,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,163,199,174,241,218,204,255,289,253,248,195,81,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,185,202,200,227,220,254,264,257,277,272,188,161,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,51,183,218,198,210,230,265,321,330,310,278,188,191,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,198,248,198,209,213,222,282,311,338,294,232,143,52,35,0,0,0,0,0,0,0,0,0,0,0,0,0,76,154,211,236,204,284,226,288,297,354,279,229,246,200,158,8,0,0,0,0,0,0,0,0,0,0,0,4,92,225,225,238,292,298,290,351,338,378,285,309,297,237,177,11,0,0,0,0,0,0,0,0,0,1,1,1,104,202,279,212,231,312,316,336,344,354,334,275,271,253,173,47,0,0,0,0,0,0,0,0,0,0,3,19,114,200,228,276,343,353,315,373,365,362,328,339,259,212,182,96,23,0,0,0,0,0,0,0,0,1,0,55,155,291,307,325,349,328,320,333,335,345,338,348,281,261,235,186,20,0,0,0,0,0,0,0,3,5,28,130,219,303,280,306,366,345,319,356,356,332,310,316,301,233,169,121,94,0,0,0,0,0,0,0,0,4,17,98,164,331,320,331,369,320,292,373,371,333,318,346,269,255,237,193,116,0,0,0,0,0,0,0,37,112,165,223,274,362,373,362,379,363,333,379,378,361,367,332,275,192,231,86,19,0,0,0,0,0,0,0,85,153,184,156,293,343,371,361,389,355,310,367,376,359,316,338,262,188,181,138,39,0,0,0,0,0,0,0,77,108,158,191,262,329,327,350,375,290,229,313,364,338,320,298,179,155,109,63,2,0,0,0,0,0,0,0,73,78,98,79,202,311,323,339,349,301,243,305,321,336,305,279,174,165,149,121,43,0,0,0,0,0,0,0,13,24,101,88,262,323,334,353,367,309,267,371,335,342,287,291,193,166,110,100,0,0,0,0,0,0,0,0,4,40,119,100,263,332,350,361,367,347,293,340,335,268,242,291,132,80,39,29,0,0,0,0,0,0,0,0,0,5,4,61,225,302,327,339,353,312,307,272,272,272,238,241,146,79,33,9,0,0,0,0,0,0,0,0,0,6,3,40,218,324,326,315,322,257,264,213,232,294,208,219,127,9,3,6,0,0,0,0,0,0,0,0,0,6,2,26,217,290,291,296,285,214,179,200,246,267,193,242,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,134,227,279,254,230,110,41,127,171,210,148,152,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,102,128,0,0,1,22,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desviacion_std,0.0,0.0,0.15612494995995996,0.37416573867739417,0.15612494995995996,0.45825756949558405,0.34550687402713137,1.7578395831246947,22.604811434736632,37.14968876047281,55.815941943140224,65.30703924539834,70.83133134425753,67.75134223762656,72.16882983670999,72.95263874596998,65.6984779123535,59.54984781676608,48.06152307199596,41.42583734820577,17.47541129701959,0.37416573867739417,0.30000000000000004,0.43588989435406733,0.21794494717703367,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.3992179855667828,0.37416573867739417,26.385779787605294,57.85749735341134,75.6153712878539,85.97708633700027,101.04241374294263,100.68996660541706,105.2651295539031,105.04353561738107,103.4284021678765,102.22987577024631,103.13204824398673,103.08320668275701,98.14076624930132,85.69059166559651,75.11457498382056,50.455915163635666,24.66463814857214,1.4385322380815802,0.34550687402713137,0.4683748498798798,0.0,0.0,0.0,0.0,0.15612494995995996,0.7031180555212617,0.34550687402713137,14.708819633131679,66.90698300626026,75.78538365014721,85.88500669499886,93.03619927211129,95.75169711289718,97.84489958602849,96.10720251365142,95.20803209288596,98.85815279985763,96.38391982068377,96.33332432237559,97.57840117054593,93.33198808554332,87.42419573550563,87.03194815698428,79.49496446316584,64.84464125893518,35.23776383370545,0.5722761571129799,6.2756971724263435,0.15612494995995996,0.0,0.15612494995995996,0.0,0.0,0.6398241946034864,7.645219094309856,57.95135891417905,74.17565301364053,79.3482198918161,87.19918290901585,92.4533632433131,94.21889407119997,96.94626088715336,99.0551582452928,97.68023085558305,95.78514694356323,94.37875489218958,92.38115338097917,96.66881283537106,94.25184016771237,91.78071692899331,85.42625108829253,87.69113053781437,82.37026162396232,50.20497983268193,30.48651341167107,30.096501042480003,1.1,0.0,0.0,0.0,7.025622748198198,6.782145678175897,21.964516839666654,64.83031216182751,81.74028612012562,86.79025002844503,87.73488473805615,93.23893701131517,93.29725344296047,93.58084406009597,99.15935407211967,97.8386298963758,96.98123529838132,94.51584192610251,90.63441675213672,91.16619096463337,92.82966928735661,94.50528755048575,92.92437785640536,93.25395433974904,85.09603031281777,49.53582037273633,23.25510696599781,0.6398241946034864,0.3122498999199199,0.4683748498798798,1.5612494995995996,14.987995196156154,27.157768225684524,21.789203174967184,38.7218849618662,79.00686283481961,86.27838663303807,86.28348625316434,88.01851722791062,92.25992832752473,87.08323604460274,85.70179403023022,92.23841051861204,95.17667781552369,90.04069913100409,91.60286226423277,85.4842675584227,84.27241541572188,86.89145167966754,89.67995525757135,91.76981734208694,89.5206365873255,79.39857917494494,67.92825259050906,39.53630451875845,16.94031803125313,19.211975432005946,4.0592486989589585,13.582870646516517,22.481992794234234,6.557247898318319,21.59508045828957,59.74461795844041,82.51829721340596,86.20729377494689,87.61911891819047,89.39868217708805,93.46923290580703,88.27632397761022,83.53950786903162,85.65430520411687,94.03876860104027,90.09549100815202,87.08716538618076,80.85046382056196,83.39484396531958,80.95986274074333,92.25789600354,89.32888670525341,88.631131663767,83.77153081447182,73.94827584196942,53.82303758614893,37.98420724459048,23.61184819110948,10.048600648846584,9.523621947557558,21.857492994394395,14.671059948074642,29.508378047598622,67.47072976483952,78.15081573470619,84.27512978334711,81.71471333242258,82.77635154438738,93.85224757564414,88.53112447043695,88.66337674034301,89.21737498940438,89.7008361165045,86.74468283416567,90.70474078018194,84.45174657755753,79.88515193701518,86.52672636243672,87.6134122152539,87.43368558513362,91.40587713599164,88.00255323000577,88.78033284461148,70.53066265816592,60.039549465331596,41.75367498795765,11.750292549549565,15.612494995995995,26.22284309528622,26.541241493193194,26.307686614371853,68.08149528322656,82.43711239484314,84.58745474359658,86.7979118412419,85.12907479234107,92.58531201005914,88.73797101579459,85.25737138218608,87.2553580016723,84.70209191631574,86.03765164159235,88.38652329399545,81.53109452840677,82.3037666209755,86.72923382574066,93.82691511501376,92.88776830132157,95.5677246773198,90.29889257349727,86.1827672739742,75.69033954211066,67.52582839180872,50.84424746222526,7.8439467106807905,12.799194310580646,29.50761554243243,25.75708640355116,39.87793876318083,71.082518068791,85.42224534627968,89.86706849563971,95.4614581912512,91.49882171372481,88.04242940196504,87.61760311147528,82.78441882383423,85.64598283048657,85.35197346869023,87.27885984016974,83.89770184575974,72.23585934284993,76.41282205886652,78.3424812920806,86.7562677851001,91.12149856098723,95.65821645316203,93.25274459767927,93.17900782901695,83.59741323749199,77.55320754166135,46.77047679893803,11.400630465022537,14.519620346276275,24.35549219375375,29.453936494125873,51.35629829923493,75.90428182915639,90.96990917330851,90.70112664680632,91.78685908124321,86.0300964779187,90.76315331675075,91.49007801395734,90.89712591715978,91.46119054003178,85.08883593045564,84.99522045385847,79.65974124361689,70.75492915691456,69.34269968785466,78.4945499700457,88.47250632258589,90.99859545619374,92.79373631878394,89.89438247187641,93.49462217154523,85.66909813345767,76.7354179958642,61.355847317105805,28.01691453390255,18.110494195355354,21.578635267319385,36.85830130377688,47.280803451295114,75.01618158770813,89.61076944207097,88.18758061654715,91.78444516910258,82.03292022109173,85.59320942691657,93.33364546078762,81.05889448419589,81.11824317007859,69.58203791209338,73.17026376882893,71.56752056624568,67.67220625929082,64.63234484373903,73.29801753799347,80.68797540526097,92.22037464682086,97.19991962445236,91.49740091937038,98.84133750612645,88.47564636666974,87.72706252918765,73.92292861487564,23.56369028823796,10.142454091589473,22.627845124978204,17.882882877209703,40.95131255527715,74.25267671942878,90.47457861189517,81.98512060124081,85.41639186947668,86.5518594543179,87.73388384769022,83.52289730965994,76.36039140156367,77.41703623880211,77.22182334029675,74.97955971463156,72.49930603116141,71.31107470091865,69.07260220232041,69.49477948018828,76.26426096147526,88.30809348525199,95.43885149665202,94.4982771006964,97.62109147105457,94.56082367978826,89.19618825936452,77.20952013838708,18.07759317497769,8.423033895218515,34.15185756294963,32.63954656547789,41.89021365426536,75.34479079538279,90.14315004480373,84.4227124356947,89.0975729186828,83.91191810464113,85.73735693966779,82.63555151991181,76.76644774900033,76.73049833671094,76.05793433298066,82.28122127800485,73.9506550004799,70.97382880329904,71.55588288184278,73.06502241154793,83.77654803105699,90.03107449653147,94.98294583766078,93.81987729154201,94.35278215293918,91.9505267793502,89.27275270204231,76.19442236804475,25.21304225990985,14.514970719915352,26.284215795796538,40.51971742250925,52.96130663040707,75.28012685961681,89.30702310008995,91.32776138721457,90.62008262521061,85.14640332979427,83.46082913558914,69.1128786840774,70.89307088848669,74.56137991614692,76.99876622388179,82.1901415925292,76.13727323065885,71.5377522710911,68.64690451870354,69.35315421810316,77.22965346937664,86.24003927990755,93.87996325095149,95.34845305509681,94.7140928003853,90.4926758085979,97.58984322151564,83.93449827097318,32.89847070913783,16.78643425507633,51.64627285680933,52.26106940161098,65.63756546368855,81.43383433806859,90.51944197242932,89.73572309844057,90.04802885127471,78.13151972795615,79.01815851435668,67.51536399220551,69.23654652710518,77.05744204812407,71.78189186696044,77.4467518686226,77.02424537118166,71.75234752257238,69.72573054475659,67.0926551494275,69.05033942711653,90.02263257092629,94.4221372348667,95.86941313578592,96.18053012434483,89.69319581216851,89.88839955745124,88.85161788059912,40.14504172372972,27.06954007736371,55.85033571967138,59.6097674462835,75.29474998298353,85.61540457184093,91.31887811400226,90.18818866680935,90.33154211016216,79.83075456864978,77.02969800667792,67.18154508494129,65.93613861153835,75.74657995579734,77.08728413298783,81.96687974419913,75.67000726840192,71.54816559493331,62.403505510507976,64.39708359079626,72.82085896225064,88.63914203104632,98.27817662126216,101.23116800175724,101.2434411455873,93.76264914666181,90.7693643251951,90.2562878695994,43.26169639531025,25.941171426903605,61.349001621868304,70.21073635848009,83.16337835850585,92.79396195335124,96.57949769490418,99.29254440792621,89.22527668771893,77.33361170926908,77.3388607040471,69.06337216643857,70.08992438289543,75.9330255883433,79.85163977652557,84.38535121690256,79.1163660376284,66.15406261145267,63.8359959192304,71.9728421003367,75.60090938606494,87.10675920960439,95.84570934580222,96.09461158150336,93.5159879378922,88.23285952523584,82.52240604829696,82.78148570181622,25.33100866527032,15.155341467614644,69.30962685659186,70.06632572070552,77.16028771330495,84.50763279136389,93.54410390291844,93.74954666557062,80.11116885303822,77.7899575780833,79.33753446509415,72.30186719580622,72.08775468136042,78.15043186061098,78.38781394451564,81.34592798659317,80.76864722774549,70.60353656156326,72.11719628493609,72.85042467274985,79.89166101665428,86.9012046809479,93.60329855298903,97.00220358321764,91.2212934297689,84.0585510224867,78.24199639579756,76.34212058228405,10.63014581273465,27.089250635630364,61.126017373946425,69.02531691343401,81.07246372844482,86.73971120542194,97.1356493518214,95.8279415149882,79.21915409167154,82.55528072146566,82.36154670111532,72.71279117184265,76.01651136430822,81.56889342758059,83.54785679477361,80.70684218206038,74.8490105145018,68.34375885916724,72.74826458411223,75.06526743441336,78.60492589526434,84.01333227530023,88.76006633052953,92.258752972279,85.59947064672772,77.48186884684701,74.75411359918597,69.345583853624,17.055039577790488,27.16021907128144,59.481488717079024,59.65672112176465,76.87463821053079,85.85859013517518,94.28671367165153,95.06292324034645,75.48605417558929,82.68319055285663,80.19778285588698,74.58578953125051,77.22368483826708,79.98386946753702,83.74202947146671,80.8847791614714,77.40694009583379,72.13927068525159,79.09124082349447,77.94709744435644,79.74325990326706,78.32470874506971,85.59348325077092,93.63240624911869,84.40897093911288,78.98619737017349,76.34788389339944,64.7939763789814,16.96980774787976,20.95972328061609,60.98868235172818,64.66884876043488,78.57219610014728,89.21838025317427,96.9473568489621,93.6684445264252,77.21476138019206,87.91529659280003,85.9115679056086,80.6084634204126,80.38532204326857,83.94460971378686,88.47301495371343,87.24473838003068,84.22371622648812,85.12606827523517,83.636699480551,88.37420084504299,91.74788485300355,84.77587731778421,87.41325700372913,98.29811480898299,85.96420403284148,79.7724263138586,77.65711493482101,66.72124380585242,27.14567184653937,11.394187114489565,40.48239586536351,59.81720070347659,79.40080289266602,91.8533477887442,98.89292189029507,99.02941166643373,83.64142215433691,88.34143987959445,86.68504773027469,85.07287684685407,85.65499109800898,88.4527981468082,92.56327227902004,92.4791192648373,85.6846544020573,87.02338407003029,89.03993486071293,87.72394199988962,90.61030570525628,79.50345904424536,85.25866524875931,95.76095237621648,79.19815338756327,72.38238736046222,70.81156332125424,57.73754735871623,17.02129181349054,16.64615195773486,31.57410925109369,60.05929882208084,82.95806169384625,86.48346662802086,93.4545210249349,92.34061944778148,81.73475010667127,90.81813901969144,90.0889005371916,86.13383481536161,88.20202662070754,87.17481000839636,93.10515224733808,91.41230428667686,90.61103685534121,91.0724985931538,92.43228602604178,87.63700345744371,93.928400257856,83.47400793061276,85.02481623032183,95.31762363277842,78.5445375248973,69.91501537581179,66.43222109789797,47.86955582622426,14.519620346276275,16.381220192647433,29.633216160248285,59.23997278020982,72.52509910368963,83.12487218035285,91.19879042509281,90.53824813304044,74.8270672951974,88.8581875799861,90.40684432054911,86.33350667614516,87.5882269486031,85.8099644563497,92.2719350615343,88.69633588824287,88.83096307031686,89.04869103473673,90.44857309543364,84.42582173126894,91.1126226161886,75.64846330230377,78.52770211842443,91.10515558957131,75.15923096998797,61.53557913922644,50.36725126508295,30.312703607563613,10.928746497197197,0.0,1.4051245496396396,30.17776499345172,44.921591412148345,79.84058726612676,90.78655944026076,86.47855225430176,68.71433620431765,87.53841656667089,91.69198097434695,87.88452651064348,92.4617454680583,89.9656844302315,91.65559175522245,82.21906333083587,85.17028531125159,91.33824158040267,93.81822850597854,86.27106989020132,89.41755630188067,77.07416882458091,74.52026150651916,86.00552307846282,76.91663912964478,56.60686795787239,46.99092997590068,1.4051245496396396,0.0,0.0,0.0,10.148121747397397,28.431980233532805,69.87019661486576,88.8437392279276,83.21865400858152,60.30254969733867,71.46900989240022,94.40873900227669,94.18258530641427,98.62286436217516,97.8560166775656,90.28703879848979,92.52942437408764,96.5807919567861,97.07851204051285,99.54645900281939,88.64197298684185,84.35911331919036,74.7422236757778,80.7815573011563,86.06131172019167,73.5020365364117,53.42255492767076,24.733125560672672,0.4683748498798798,0.0,0.0,0.0,2.1857492994394394,9.678552319432901,36.60870798047918,52.63259446388711,48.00518201194534,34.614294373856595,42.39527538535397,53.73694608925967,56.686589022448686,68.0614382378157,61.48884045093062,53.73452684261768,56.58347815396292,60.867432794557715,63.894268131030344,61.628072945695784,53.92179522234029,56.35995364618392,43.792515056799374,44.360730099943126,52.75267173328759,54.99863066477201,40.86923506746854,11.180088327021393,0.0,0.0
