columna,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254,c255,c256,c257,c258,c259,c260,c261,c262,c263,c264,c265,c266,c267,c268,c269,c270,c271,c272,c273,c274,c275,c276,c277,c278,c279,c280,c281,c282,c283,c284,c285,c286,c287,c288,c289,c290,c291,c292,c293,c294,c295,c296,c297,c298,c299,c300,c301,c302,c303,c304,c305,c306,c307,c308,c309,c310,c311,c312,c313,c314,c315,c316,c317,c318,c319,c320,c321,c322,c323,c324,c325,c326,c327,c328,c329,c330,c331,c332,c333,c334,c335,c336,c337,c338,c339,c340,c341,c342,c343,c344,c345,c346,c347,c348,c349,c350,c351,c352,c353,c354,c355,c356,c357,c358,c359,c360,c361,c362,c363,c364,c365,c366,c367,c368,c369,c370,c371,c372,c373,c374,c375,c376,c377,c378,c379,c380,c381,c382,c383,c384,c385,c386,c387,c388,c389,c390,c391,c392,c393,c394,c395,c396,c397,c398,c399,c400,c401,c402,c403,c404,c405,c406,c407,c408,c409,c410,c411,c412,c413,c414,c415,c416,c417,c418,c419,c420,c421,c422,c423,c424,c425,c426,c427,c428,c429,c430,c431,c432,c433,c434,c435,c436,c437,c438,c439,c440,c441,c442,c443,c444,c445,c446,c447,c448,c449,c450,c451,c452,c453,c454,c455,c456,c457,c458,c459,c460,c461,c462,c463,c464,c465,c466,c467,c468,c469,c470,c471,c472,c473,c474,c475,c476,c477,c478,c479,c480,c481,c482,c483,c484,c485,c486,c487,c488,c489,c490,c491,c492,c493,c494,c495,c496,c497,c498,c499,c500,c501,c502,c503,c504,c505,c506,c507,c508,c509,c510,c511,c512,c513,c514,c515,c516,c517,c518,c519,c520,c521,c522,c523,c524,c525,c526,c527,c528,c529,c530,c531,c532,c533,c534,c535,c536,c537,c538,c539,c540,c541,c542,c543,c544,c545,c546,c547,c548,c549,c550,c551,c552,c553,c554,c555,c556,c557,c558,c559,c560,c561,c562,c563,c564,c565,c566,c567,c568,c569,c570,c571,c572,c573,c574,c575,c576,c577,c578,c579,c580,c581,c582,c583,c584,c585,c586,c587,c588,c589,c590,c591,c592,c593,c594,c595,c596,c597,c598,c599,c600,c601,c602,c603,c604,c605,c606,c607,c608,c609,c610,c611,c612,c613,c614,c615,c616,c617,c618,c619,c620,c621,c622,c623,c624,c625,c626,c627,c628,c629,c630,c631,c632,c633,c634,c635,c636,c637,c638,c639,c640,c641,c642,c643,c644,c645,c646,c647,c648,c649,c650,c651,c652,c653,c654,c655,c656,c657,c658,c659,c660,c661,c662,c663,c664,c665,c666,c667,c668,c669,c670,c671,c672,c673,c674,c675,c676,c677,c678,c679,c680,c681,c682,c683,c684,c685,c686,c687,c688,c689,c690,c691,c692,c693,c694,c695,c696,c697,c698,c699,c700,c701,c702,c703,c704,c705,c706,c707,c708,c709,c710,c711,c712,c713,c714,c715,c716,c717,c718,c719,c720,c721,c722,c723,c724,c725,c726,c727,c728,c729,c730,c731,c732,c733,c734,c735,c736,c737,c738,c739,c740,c741,c742,c743,c744,c745,c746,c747,c748,c749,c750,c751,c752,c753,c754,c755,c756,c757,c758,c759,c760,c761,c762,c763,c764,c765,c766,c767,c768,c769,c770,c771,c772,c773,c774,c775,c776,c777,c778,c779,c780,c781,c782,c783
media,0.125,1.075,0.325,0.0,0.2,0.15,0.325,0.425,1.6,2.3,3.175,1.6,2.75,1.3,2.325,2.05,1.85,1.75,2.55,1.475,2.25,1.175,1.6,1.475,0.05,0.525,0.05,0.0,0.2,0.175,0.25,0.15,0.425,0.2,0.225,0.425,2.275,1.675,1.925,3.4,4.1,2.3,2.55,1.8,3.7,1.775,2.625,3.2,2.4,1.475,2.95,2.05,0.025,0.1,0.05,0.15,1.025,0.275,0.3,0.575,0.125,0.225,0.45,0.3,3.65,2.05,2.175,2.975,3.075,3.075,2.8,2.875,2.625,3.2,2.6,2.7,2.25,3.425,1.9,1.55,0.0,0.0,0.0,0.175,0.275,0.0,0.325,0.85,0.275,0.65,0.575,0.05,2.275,2.925,3.225,4.0,4.625,5.9,13.3,11.95,19.175,16.925,13.025,9.3,7.625,8.325,6.875,2.625,0.475,0.025,0.35,0.0,0.7,0.15,0.6,0.325,0.25,0.425,0.275,1.35,6.725,12.425,22.775,33.675,48.675,56.35,61.95,68.15,68.625,46.4,22.75,10.025,9.85,8.25,9.075,1.875,0.15,0.175,0.175,0.1,0.3,0.5,0.5,0.025,0.425,0.575,1.45,9.975,24.0,28.625,43.75,65.85,77.8,82.325,87.975,83.2,81.275,76.125,61.625,33.25,26.375,9.725,7.2,4.45,2.15,0.875,0.0,0.225,0.3,0.575,0.675,0.25,0.75,2.225,5.35,18.325,29.375,34.9,58.425,84.525,97.425,102.925,115.075,99.4,99.05,98.025,86.325,68.5,55.775,20.325,11.125,8.3,6.425,4.05,0.0,0.1,0.825,0.25,0.45,0.575,1.1,5.2,9.925,25.35,35.175,57.875,72.35,105.875,120.7,128.625,128.3,121.4,128.45,133.95,126.6,108.175,95.175,55.025,23.5,10.75,6.375,5.025,0.275,0.3,1.225,1.825,1.1,1.1,2.875,7.15,16.2,29.825,61.1,83.4,109.1,135.2,145.725,137.625,130.075,123.225,117.625,137.525,155.65,132.725,98.75,71.8,41.35,13.375,8.475,7.25,0.525,0.525,1.2,1.975,1.525,1.95,2.1,6.7,23.5,39.0,79.25,98.4,111.0,123.4,99.7,87.025,98.325,96.825,105.8,123.925,154.05,133.075,95.65,76.675,40.15,21.1,11.925,6.875,0.425,0.0,1.225,0.55,1.725,2.325,3.4,8.275,27.35,53.425,81.8,91.175,106.95,97.575,72.05,71.2,82.875,82.975,88.7,119.25,119.025,114.925,85.0,64.3,37.25,14.175,1.175,0.125,0.45,0.325,1.8,1.15,1.7,3.175,7.4,12.925,31.65,66.475,91.525,95.225,102.2,83.025,73.425,78.375,78.2,77.275,100.65,120.4,113.2,104.525,70.45,51.625,33.35,19.55,2.225,0.45,0.65,0.4,1.5,1.325,1.525,3.75,8.7,14.05,44.525,67.85,80.175,97.15,104.0,86.2,82.9,80.9,84.925,96.55,110.85,116.55,110.6,93.475,66.275,48.35,34.0,22.4,4.625,0.15,0.075,0.0,1.225,1.75,1.3,2.9,7.3,17.875,51.475,64.85,78.95,99.275,98.725,79.65,77.475,80.625,103.85,105.3,110.625,123.375,107.0,82.525,60.05,46.35,38.325,19.5,7.15,0.675,0.1,0.3,1.2,2.2,0.9,1.5,8.75,25.6,49.975,56.95,76.025,97.675,99.75,93.0,94.075,102.625,109.875,98.35,119.0,109.025,92.5,62.1,58.95,57.25,45.15,34.85,11.675,1.7,0.475,0.075,1.025,1.525,1.175,1.35,3.55,22.075,44.85,52.625,69.375,80.35,80.85,91.5,91.8,98.325,101.8,100.225,112.25,120.35,98.2,55.225,48.5,55.075,45.8,29.825,11.775,0.15,0.2,0.2,0.95,1.925,0.775,1.7,7.575,23.3,36.8,48.675,61.925,60.3,51.1,52.75,55.1,69.525,88.075,105.05,107.675,107.175,77.9,55.425,52.725,58.025,45.7,26.35,8.0,1.25,0.2,0.275,1.15,1.675,1.075,1.775,9.35,28.725,35.8,44.95,57.125,49.925,38.075,35.675,54.2,82.725,95.1,100.125,94.65,90.3,66.9,63.175,59.725,58.65,44.075,24.5,2.6,2.375,0.0,0.65,1.25,1.85,0.825,1.35,11.475,30.425,40.425,44.125,56.2,47.8,39.175,46.925,67.05,89.975,104.675,86.575,98.575,92.95,82.025,80.175,69.75,62.35,50.675,26.0,5.375,6.025,0.525,0.125,1.225,2.0,1.625,1.9,14.95,29.15,53.3,60.175,77.425,81.35,71.15,71.4,81.375,98.525,110.65,111.35,113.65,106.45,93.7,81.725,70.375,56.275,36.375,18.9,6.125,4.575,0.375,0.175,1.4,1.225,1.225,4.2,13.025,24.6,62.05,71.05,89.325,96.925,94.175,100.075,111.7,121.475,136.375,142.525,127.4,117.7,99.15,77.25,49.325,27.975,22.775,10.075,1.35,0.275,0.025,0.375,1.75,1.85,0.8,7.2,8.45,16.125,56.375,71.825,86.775,103.6,113.775,121.875,127.1,123.45,149.6,158.7,131.0,105.05,86.4,46.975,26.125,15.7,7.975,2.125,0.0,0.225,0.05,0.1,1.325,1.5,2.35,2.75,8.575,10.4,23.95,44.45,70.4,87.4,111.625,115.45,109.9,115.675,123.775,136.775,110.25,67.3,48.2,31.8,22.275,6.9,2.925,3.075,0.225,0.775,0.25,0.05,1.05,2.55,0.875,1.025,2.275,6.1,14.975,28.3,44.475,65.025,86.25,82.325,97.9,88.825,80.75,77.825,58.15,41.0,22.375,8.525,6.175,6.175,6.9,1.75,0.225,0.075,0.15,0.15,0.25,0.225,0.55,0.025,0.6,1.725,6.5,13.575,18.05,18.55,23.075,27.825,35.375,33.5,36.3,47.175,34.75,20.325,5.35,0.425,0.65,0.75,0.525,0.05,0.0,0.0,0.0,0.0,0.175,0.425,0.425,0.0,0.575,4.575,6.5,9.65,8.7,10.075,13.325,14.625,14.95,12.525,14.075,28.65,28.85,16.125,4.925,0.15,0.15,0.225,0.125,0.525,0.0,0.0,0.0,0.0,0.25,0.275,0.05,0.075,1.975,6.55,5.225,3.275,1.95,0.85,2.55,2.725,4.725,9.1,9.725,13.775,12.9,7.425,2.6,0.625,0.725,0.225,0.275,0.675,0.0,0.0,0.0,0.0,0.025,0.125,0.55,0.025,0.075,0.675,0.575,0.125,1.675,2.0,1.375,1.15,1.8,2.05,1.925,1.475,0.4,0.625,0.1,0.3,0.6,0.725,0.35,0.325,0.0,0.0,0.0,0.0
moda,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,6,6,11,8,7,7,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,15,7,13,8,14,8,11,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,121,97,194,68,63,105,43,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,108,218,219,277,202,322,362,255,111,27,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,22,73,291,358,372,289,250,144,323,414,379,73,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41,155,215,132,32,62,26,133,175,412,301,64,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,19,38,97,111,21,20,30,17,83,238,161,128,24,12,1,6,0,0,0,0,0,0,0,0,0,0,0,1,17,55,76,29,11,24,16,19,73,148,122,71,26,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,21,83,45,19,21,33,68,26,152,179,185,31,14,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,38,21,52,18,16,14,44,29,117,269,111,7,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,6,29,32,41,43,68,94,194,74,272,170,23,7,10,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0,9,28,16,26,52,72,44,116,90,246,20,10,2,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,13,4,24,16,29,114,119,16,7,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,14,9,4,13,32,21,34,67,23,16,6,6,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,4,13,23,49,61,47,69,15,6,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,17,20,49,96,187,116,179,94,33,15,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,43,76,160,262,302,296,255,210,24,9,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,14,125,165,173,247,273,421,477,286,165,26,3,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,69,107,69,178,220,361,67,17,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,22,25,15,38,48,2,5,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desviacion_std,0.7806247497997998,2.978149593287752,1.3301785594423028,0.0,0.7483314773547883,0.653834841531101,1.0096410253154335,1.6414551471179466,1.8275666882497068,3.6619666847201104,4.437834494435321,2.3216373532487804,5.611372381155968,2.0639767440550294,3.690443740256719,3.2630507198019463,3.2829102942358936,3.6452023263462343,3.6190468358395145,2.8634550808420234,3.42600350262518,2.2900600428809725,3.786819245752297,2.2021296510423722,0.3122498999199199,2.9747899085481655,0.3122498999199199,0.0,0.9539392014169457,0.6279928343540235,1.5612494995995996,0.6910137480542627,1.9607077803691195,0.8426149773176358,0.9871043511199816,2.0722873835450524,3.3614542983655156,3.466897027602637,3.3345726862673124,5.112729212465687,5.219195340279955,3.5298725189445577,4.030818775385467,3.4219877264537346,5.23545604508337,3.8502434987932905,5.228228667531672,4.6701177715342475,3.7669616403674726,2.9239314287445253,4.625743183532783,3.0079062485390065,0.15612494995995996,0.48989794855663565,0.3122498999199199,0.6910137480542627,2.5931399885081405,1.3226394066411298,1.32664991614216,1.6261534367949415,0.5092887196865841,0.8799857953399021,1.6575584454250776,1.32664991614216,4.292726406376255,3.024483426967323,3.484878046646683,4.875897353308415,3.797285214465724,5.30277050229406,4.3999999999999995,4.899936224074758,5.256840781305821,5.000999900019995,3.4336569426778794,3.2802438933713454,3.476708213238494,6.168012240584481,3.1843366656181313,2.8102490992792797,0.0,0.0,0.0,1.0928746497197197,1.117754445305408,0.0,1.3301785594423028,2.3510635891017495,1.5650479225889538,2.4954959426935557,1.9479155525843517,0.3122498999199199,4.716924315695557,4.474301621482396,5.057111329603096,6.5612498809297,11.837836584443966,26.0161488310626,43.228000185065234,36.52050793732201,52.22111043438276,53.057227358768,44.80205770944009,39.63029144480267,38.159983949158054,37.250763414995944,19.200504550662203,4.53700066122984,2.664465237153602,0.15612494995995996,2.1857492994394394,0.0,2.925747767665559,0.653834841531101,2.083266665599966,1.4210471491122314,1.4097872179871684,1.464368464560747,1.7173744495595595,4.486368241685026,13.729507456569593,29.92815355146388,62.22438730112173,70.78608178872453,89.1407279250063,89.05968504323378,97.01983044718229,100.746600438923,101.22319089516986,76.71368847865419,51.664663939679315,38.875755619666094,39.635558530188526,39.69430059844864,37.86778809225593,3.89991987097171,0.9367496997597596,1.0928746497197197,1.0928746497197197,0.48989794855663565,1.307669683062202,1.6733200530681511,1.7748239349298849,0.15612494995995996,1.9350387593017353,1.5951097140949269,7.971668583176298,40.63033811082551,64.10928169929842,68.59398206111086,81.89467320894565,103.2345751189978,106.43805710365065,109.50465458143778,107.37352734729357,109.85927361857078,107.35617995718735,97.02787936979762,86.78095629226495,66.10247726068971,62.483072707734216,39.0352324829762,31.63874207360337,9.227540300643502,13.426745696556555,5.464373248598599,0.0,1.2547410091329605,1.2083045973594573,2.7008100636660846,2.284595150130543,1.2796483892069728,2.6433879775772606,13.57845259961532,31.512338853217482,58.06952191124015,72.91971184117502,70.5864009565582,85.35832926551456,102.92132614283592,102.56214884156824,109.6283237808551,108.7109441362736,104.91753904853087,109.992942955446,106.31873952883376,103.13859304353535,92.9669296040264,88.492510276294,47.10275336962798,33.59775848177971,39.02832304878087,38.5544339214052,24.81627490176557,0.0,0.6244997998398398,2.5484063647699515,1.5612494995995996,1.627114009527298,2.407150805412906,4.8,30.459973736035952,41.93291517412067,61.9526230276007,76.99249557586765,87.43002559189834,94.9919865041257,107.64134602930233,107.52120721048476,106.80933655350547,109.20329665353515,113.49775328172801,112.06559463100173,111.90396552401526,106.0548914477781,109.58031016108689,109.51458521585151,91.81870384077527,51.98846025802265,40.05168535779737,31.411532515940703,25.862605727188434,1.7173744495595595,1.8734993995195193,2.6219029348928995,3.639282209447352,2.930870177950569,2.353720459187964,5.559620040974023,39.74767288785596,46.83812549622369,69.58264420816444,99.5388868734225,103.64284828197263,113.40917070501837,108.47769355955167,107.0133140081177,106.57501759324275,106.33870120986056,113.85132574985677,111.90480050024664,107.04554813255896,106.2408937274155,109.39743769851283,107.13256974421924,102.0813890971317,74.75612015079435,40.844024960818935,41.44272402967739,39.20188133240546,2.0123058912600738,1.7318703762117995,3.018277654557314,3.65709926034282,3.324060017508709,2.93214938227915,5.342284155677232,31.435012327021603,60.03040896079253,73.84747795287257,106.18091871894875,107.78190942825238,105.09495706264883,107.76590369871167,99.2693809792325,100.84282014600741,104.60840967627793,108.41030566786536,108.9369542441866,109.87342433454963,108.32819346781339,108.71025423114419,105.0215573108683,110.46388267212048,80.7101449633192,55.82374046944543,50.28438500170803,29.657366285629614,2.654124149319319,0.0,2.3820946664647904,1.5483862567202025,3.5212746271769264,4.3208072162502225,18.372261700726995,30.974172708887643,66.14550249261093,93.88127808567583,104.7268351474444,112.53263693258059,108.61720627966822,100.34512631413645,99.85062593694644,98.06304094815744,101.08491170792998,103.14176833368721,101.01687977758965,111.93474661605306,106.36904801209793,111.10521758675422,106.0853430026976,94.98347224649139,74.22053287332287,28.189437294845032,3.82679696351923,0.6398241946034864,1.935846068260594,1.348842096021621,3.043024810940588,2.34040594769369,3.1480152477394387,11.101548315437807,38.285636993525394,46.41518474594278,68.82788315791791,102.04435003957839,110.9610263786344,100.20815523199694,105.47848121773467,102.41740269602623,105.51182102020607,100.74663455917522,102.63045357007832,103.12128478156194,103.85122772504904,115.75487030790539,111.97079976493872,109.28769086681264,98.68306592318663,90.99277100407483,75.38685230197638,54.16869483382445,9.85516996301941,2.2577643809751273,2.3616731357239087,1.3,3.24037034920393,3.3792565750472394,3.0247933813733456,15.143893158629982,39.3167903064327,46.59771990129989,87.50685330304135,106.28747574385234,102.87368164404344,103.51921319252769,110.61193425666147,108.37831886498334,104.29185011303615,92.22927951578068,102.70257725588,111.95176416653736,111.09377795358296,114.33327380950831,108.42089282052606,104.86729411499087,100.94924157714112,78.76057071911046,74.90293719207546,62.58106742458137,20.556857128462028,0.7921489758877429,0.4683748498798798,0.0,2.494869736078419,3.554926159570688,2.749545416973504,7.03846574190711,34.52911814686265,50.58220413346971,96.66307141302724,102.20042808129523,101.16421056875795,109.74287847054133,108.57462583403176,108.52708187360425,102.35916849505958,101.43438457939202,109.474323473589,114.36284361627249,109.20157679722395,108.75423842315296,108.49101345272796,107.6988828864998,97.59967981504856,84.5389111592999,76.95140918137888,56.49114974931914,32.924572890168214,1.9797411446954372,0.6244997998398398,1.8734993995195193,2.7313000567495327,4.495553358597805,2.046948949045872,4.05585995813465,30.901254019861394,65.30038284726974,95.78504254318625,91.26471114291658,92.71825265286226,112.53141505819607,111.24898875944895,104.0096149401583,101.99911457949035,105.8977543435176,100.91981656245716,106.95385687295247,108.4241670477574,101.98614795647495,103.42557710740608,90.42588125088966,96.90251544722665,91.01613867880795,86.43365953145799,72.94777241287083,47.351022956215,5.139066063011839,1.658123939879043,0.34550687402713137,1.7533895745098977,3.68773304348349,2.3440083190978656,3.15079355083763,13.818375447207968,58.616715832601884,85.31985407863752,86.27968691992339,96.27530511507092,102.21877273769236,101.0872271852384,100.91283367342332,105.53226994621124,109.32757829111557,108.81341829020904,105.6478791789026,114.1161141118992,113.39125848141909,115.55457585054776,87.81215391390876,82.2222597597512,95.66958437769028,85.62277734341487,67.98194153596968,49.11389187388839,0.5722761571129799,0.8717797887081347,0.812403840463596,2.4489793792516914,2.7783763244024375,2.127057827140579,3.8026306683663087,33.84958456170474,66.13516462518255,73.83603456307766,91.49573419017958,103.68013008768844,96.857937207025,86.9648779680625,88.6904025247377,93.9738793495299,92.581582266669,104.5670568343587,116.78997174415275,110.78930171726871,111.5634096601569,101.8508222843586,88.09934378302712,85.4195491383559,95.55848667177605,87.12554160520322,72.69338002872064,31.294568218781993,4.010922587136281,1.2489995996796797,1.7173744495595595,2.87706447616316,2.9528587842970073,2.125882169829739,3.663928902148621,35.71102770853844,71.1691602802787,79.29539709213896,88.75132393378705,98.47999479589751,86.94290871025652,69.98978050401358,80.4637767880678,84.7933370023848,99.76847886481983,113.03070379326141,111.72582232859152,103.93592978368933,108.66305719976775,96.05592121259366,93.62181570018818,96.44298510000613,97.3584998857316,84.46312435021571,59.68333100623657,10.099009852455833,13.427001712966302,0.0,2.7798381247835278,3.1444395367060247,3.4025725561698166,1.9220757009025424,2.7436289836637897,41.68212296656686,75.0476140526799,89.46504554852693,83.53358231872976,93.1187950952975,86.66925637156466,78.75051983955407,84.33960739178242,97.87235309319993,106.8951559940861,111.04309692637355,100.89769261484628,105.5475929379728,103.54080113655681,103.03385062686924,106.90507179268906,104.72601157305667,96.42679866095318,91.3083751635084,60.16394268995342,31.50768755399228,37.307162516063855,2.1907475892945767,0.5562148865321748,2.2637082409179854,3.8275318418009276,3.9603503632885815,4.346262762420147,49.21938134515712,74.72367429402813,96.91805817287097,98.1786350231047,105.70096676473683,108.75995356747815,102.33707783594372,98.12690762476927,94.00762934464416,106.37151580662936,97.72526541278872,111.24197723881035,104.62350357352788,111.1066942177653,107.48725505844868,105.85839303050089,100.02691825203853,97.45357548597178,78.59347539713458,56.823322676520775,35.88188087322068,25.462607388089697,2.0455744914326637,1.0928746497197197,2.6057628441590763,2.8327327794905046,3.1975576617162043,15.310453944935793,47.36268969347074,62.460707648889155,101.05714967284601,106.7117495873814,111.12456692829,114.41074851166739,104.41429200545296,106.97368543244642,110.82603484741301,104.83772877642856,102.84154984732581,100.8325313328987,112.99376088970577,111.84077968254691,115.47933797870508,101.94894555609685,86.72928787324383,66.50995696134527,61.54245993620989,32.57482732110794,8.430747297837838,1.0720890821195783,0.15612494995995996,2.341874249399399,3.9544278979392202,4.741044188783732,2.111871208194288,34.696685720685196,37.9347795564967,46.431771180948935,90.69914208524797,102.88656071129991,108.1996967417192,106.2585996519811,111.24128898480095,111.40942229003794,110.71671057252375,109.85967185459823,108.7600110334676,112.44269651693703,115.38154098468264,106.99718454239813,104.49301412056215,84.0180003035064,64.12378166483946,51.05105287846667,15.581218662222799,3.709363152887568,0.0,1.4051245496396396,0.3122498999199199,0.48989794855663565,2.48382265872586,3.3166247903554,4.350574674683794,8.16317952761055,37.43653796760593,41.01511916354748,53.754511438576024,73.64032523013462,95.23990760180314,106.51286307296411,114.75772032852518,116.47788416690959,112.62677301601072,110.18992410833216,107.48499604595982,109.89437826840826,110.52573229795856,95.5602427790972,83.32592633748514,71.30715251642012,58.637440044735925,17.323105957073633,4.870254100147137,4.6388980372497945,0.9079509898667439,3.012370329159415,0.8587782018658834,0.21794494717703367,2.6167728216259047,4.2127781807258735,2.1469455046647083,2.4848289679573523,6.0124350308340135,24.34214452343918,48.56052280402261,68.504087469289,86.91202088894264,90.98062637177213,104.58650725595534,105.46738536154199,108.47022632962465,104.62095571633822,92.73962206090772,93.56866128677913,95.43179501612657,77.60444574893889,58.598074840390446,28.76976494516422,21.70931539685211,28.47181720579141,22.780254607883556,2.790609252475165,1.1288821904875637,0.4683748498798798,0.5722761571129799,0.7921489758877429,1.0428326807307104,1.4051245496396396,2.4387496796514396,0.15612494995995996,2.244994432064365,10.457025150586567,35.89986072396382,49.3162688673829,56.23297520138873,48.37352064921469,53.36074751163069,68.45505368488143,82.9881580407711,80.0306191404265,81.49085838301127,93.72109887853428,84.62173184235832,60.778033655260685,18.80099731397247,1.8559027452967463,2.297281001532028,2.671610001478509,2.0123058912600738,0.3122498999199199,0.0,0.0,0.0,0.0,0.9457140159688868,1.9350387593017353,1.8559027452967463,0.0,2.625714188558991,28.41116637873215,39.7994974842648,42.504440944447204,31.168253079054658,39.353136787300706,51.95689920501415,48.024310250122284,48.192815854647876,50.07543684282744,46.804052976211366,70.34150623920418,76.39422425812046,55.30424373409332,20.60265456197332,0.653834841531101,0.7921489758877429,1.4051245496396396,0.7806247497997998,1.8572493101358254,0.0,0.0,0.0,0.0,1.0428326807307104,1.2447389284504602,0.3122498999199199,0.4683748498798798,11.710011742094883,39.63139538295365,32.31136603426107,16.442304430948845,3.8855501540965856,2.535251466817444,5.029662016477847,11.75369622714489,25.58807095112877,36.66183301473073,40.44934331976231,51.272549917085264,52.15879599837404,36.346861969088884,14.82194319244275,2.0455744914326637,2.7384986762823167,1.036520622081394,1.4315638302220408,2.639957386019706,0.0,0.0,0.0,0.0,0.15612494995995996,0.6398241946034864,2.71062723368596,0.15612494995995996,0.26339134382131846,2.961313053359945,2.1199941037653853,0.7806247497997998,4.137556646137911,4.494441010848846,2.8955785259598814,2.850877058029686,4.970915408654627,3.707762128292482,4.719043865021812,3.4712209667493075,2.046948949045872,2.614263758690006,0.48989794855663565,1.077032961426901,2.3853720883753127,2.3020371413163603,1.6209565077447328,1.4558073361540669,0.0,0.0,0.0,0.0
